model,batch_size,flops_per_iteration,flops_per_iteration_gflops,flops_per_iteration_tflops
ResNet18,32,174630322176,174.630322176,0.174630322176
ResNet18,64,349260644352,349.260644352,0.349260644352
ResNet18,128,698521288704,698.521288704,0.698521288704
ResNet18,256,1397042577408,1397.042577408,1.397042577408
ResNet50,32,394705207296,394.705207296,0.394705207296
ResNet50,64,789410414592,789.410414592,0.789410414592
ResNet50,128,1578820829184,1578.820829184,1.578820829184
ResNet50,256,3157641658368,3157.641658368,3.157641658368
MobileNetV2,32,30162548736,30.162548736,0.030162548736
MobileNetV2,64,60325097472,60.325097472,0.060325097472
MobileNetV2,128,120650194944,120.650194944,0.120650194944
MobileNetV2,256,241300389888,241.300389888,0.241300389888
