env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp,environment,env_code,source_file
envA,cuda,mobilenet_v2,128,0,193.59,661.2,1763160024.1694,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,1,85.39,1498.94,1763160024.3639183,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,2,193.34,662.05,1763160024.5574448,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,3,193.25,662.34,1763160024.7508974,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,4,193.91,660.09,1763160024.945014,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,5,193.45,661.68,1763160025.1387124,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,6,193.16,662.67,1763160025.3320043,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,7,193.95,659.95,1763160025.5261867,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,8,192.98,663.29,1763160025.7194283,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,9,193.46,661.63,1763160025.9130964,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,10,193.54,661.36,1763160026.106826,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,11,86.05,1487.5,1763160026.3019304,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,12,193.53,661.38,1763160026.4957168,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,13,193.53,661.4,1763160026.6894531,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,14,193.24,662.38,1763160026.8829296,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,15,193.82,660.42,1763160027.0769594,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,16,193.54,661.35,1763160027.2707045,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,17,193.62,661.09,1763160027.464538,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,18,192.87,663.67,1763160027.6575966,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,19,194.61,657.73,1763160027.8524055,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,20,192.4,665.3,1763160028.044942,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,21,85.27,1501.11,1763160028.2396328,RTX 4080,A,mobilenetv2_b128.csv
envA,cuda,mobilenet_v2,128,22,194.63,657.66,1763160028.434491,RTX 4080,A,mobilenetv2_b128.csv
