environment,model,batch_size,avg_time_ms,std_time_ms,min_time_ms,max_time_ms,num_iterations,avg_throughput,std_throughput,min_throughput,max_throughput
CPU,resnet18,64,6208.09,276.19,5765.44,6835.15,50,10.33,0.46,9.36,11.1
RTX 4080,mobilenet_v2,128,181.99,34.14,84.84,207.9,64,751.93,263.38,615.67,1508.72
RTX 4080,resnet18,128,125.91,25.83,53.13,144.65,64,1106.97,449.86,884.89,2409.02
RTX 4080,resnet50,32,95.3,17.73,41.89,108.29,100,358.78,125.91,295.5,763.89
RTX 4080,resnet50,64,188.54,36.1,80.14,203.42,100,366.47,142.57,314.61,798.6
RTX 4080,resnet50,128,5328.08,1731.72,914.41,8561.24,39,30.83,26.41,14.95,139.98
T4 GPU,mobilenet_v2,128,445.78,85.69,173.36,552.51,64,308.14,112.66,231.67,738.33
T4 GPU,resnet18,128,238.2,100.89,118.3,379.79,64,649.66,274.46,337.03,1081.96
T4 GPU,resnet50,32,313.89,62.54,119.12,360.45,100,111.08,46.66,88.78,268.65
T4 GPU,resnet50,64,604.78,127.5,217.25,678.01,100,117.37,55.48,94.39,294.59
T4 GPU,resnet50,128,1208.49,275.57,418.47,1372.9,64,119.8,62.06,93.23,305.88
