env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,resnet50,128,0,5326.58,24.03,1763157316.9777613
envA,cuda,resnet50,128,1,914.41,139.98,1763157321.4348633
envA,cuda,resnet50,128,2,4800.01,26.67,1763157326.2351077
envA,cuda,resnet50,128,3,4760.43,26.89,1763157330.9956894
envA,cuda,resnet50,128,4,4941.08,25.91,1763157335.937036
envA,cuda,resnet50,128,5,4929.76,25.96,1763157340.8672137
envA,cuda,resnet50,128,6,4609.49,27.77,1763157345.4769673
envA,cuda,resnet50,128,7,5180.25,24.71,1763157350.6575682
envA,cuda,resnet50,128,8,4963.90,25.79,1763157355.6216505
envA,cuda,resnet50,128,9,4661.22,27.46,1763157360.2830918
envA,cuda,resnet50,128,10,4792.73,26.71,1763157365.0761404
envA,cuda,resnet50,128,11,1026.22,124.73,1763157370.2805524
envA,cuda,resnet50,128,12,5450.89,23.48,1763157375.7316868
envA,cuda,resnet50,128,13,5679.11,22.54,1763157381.4110374
envA,cuda,resnet50,128,14,4812.68,26.60,1763157386.223993
envA,cuda,resnet50,128,15,4972.23,25.74,1763157391.1964803
envA,cuda,resnet50,128,16,4856.62,26.36,1763157396.0532744
envA,cuda,resnet50,128,17,5042.37,25.38,1763157401.0958307
envA,cuda,resnet50,128,18,4812.15,26.60,1763157405.908362
envA,cuda,resnet50,128,19,5103.14,25.08,1763157411.0117161
envA,cuda,resnet50,128,20,5101.77,25.09,1763157416.113722
envA,cuda,resnet50,128,21,1531.23,83.59,1763157423.4323976
envA,cuda,resnet50,128,22,7201.06,17.78,1763157430.6337118
envA,cuda,resnet50,128,23,7523.11,17.01,1763157438.15707
envA,cuda,resnet50,128,24,6319.21,20.26,1763157444.4765203
envA,cuda,resnet50,128,25,5156.51,24.82,1763157449.6331959
envA,cuda,resnet50,128,26,5633.57,22.72,1763157455.2670577
envA,cuda,resnet50,128,27,5758.48,22.23,1763157461.025835
envA,cuda,resnet50,128,28,4950.87,25.85,1763157465.9769187
envA,cuda,resnet50,128,29,4460.41,28.70,1763157470.4376047
envA,cuda,resnet50,128,30,7135.10,17.94,1763157477.5729215
envA,cuda,resnet50,128,31,6133.20,20.87,1763157489.6525898
envA,cuda,resnet50,128,32,2667.98,47.98,1763157492.321046
envA,cuda,resnet50,128,33,7337.94,17.44,1763157499.6592672
envA,cuda,resnet50,128,34,7656.82,16.72,1763157507.3164399
envA,cuda,resnet50,128,35,8561.24,14.95,1763157515.8780162
envA,cuda,resnet50,128,36,7882.49,16.24,1763157523.7608461
envA,cuda,resnet50,128,37,7521.19,17.02,1763157531.2825267
envA,cuda,resnet50,128,38,7627.59,16.78,1763157538.9102857
