env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,resnet18,64,0,6520.06,9.82,1763161653.6751437
envA,cuda,resnet18,64,1,6835.15,9.36,1763161660.5108042
envA,cuda,resnet18,64,2,6309.34,10.14,1763161666.820251
envA,cuda,resnet18,64,3,6562.83,9.75,1763161673.3832002
envA,cuda,resnet18,64,4,6187.63,10.34,1763161679.570968
envA,cuda,resnet18,64,5,6237.99,10.26,1763161685.809141
envA,cuda,resnet18,64,6,6332.60,10.11,1763161692.141857
envA,cuda,resnet18,64,7,6093.59,10.50,1763161698.2356591
envA,cuda,resnet18,64,8,5953.90,10.75,1763161704.1897738
envA,cuda,resnet18,64,9,6432.70,9.95,1763161710.62259
envA,cuda,resnet18,64,10,6432.56,9.95,1763161717.0553482
envA,cuda,resnet18,64,11,6333.76,10.10,1763161723.3895855
envA,cuda,resnet18,64,12,6351.89,10.08,1763161729.7417014
envA,cuda,resnet18,64,13,6393.48,10.01,1763161736.1353953
envA,cuda,resnet18,64,14,6556.66,9.76,1763161742.692239
envA,cuda,resnet18,64,15,6644.65,9.63,1763161749.3370755
envA,cuda,resnet18,64,16,6420.37,9.97,1763161755.7575462
envA,cuda,resnet18,64,17,6472.29,9.89,1763161762.2301466
envA,cuda,resnet18,64,18,6437.28,9.94,1763161768.667658
envA,cuda,resnet18,64,19,6364.48,10.06,1763161775.0323331
envA,cuda,resnet18,64,20,6427.84,9.96,1763161781.4602866
envA,cuda,resnet18,64,21,6467.63,9.90,1763161787.928316
envA,cuda,resnet18,64,22,6382.08,10.03,1763161794.3105173
envA,cuda,resnet18,64,23,6268.00,10.21,1763161800.578766
envA,cuda,resnet18,64,24,6497.56,9.85,1763161807.0764375
envA,cuda,resnet18,64,25,6274.49,10.20,1763161813.3511028
envA,cuda,resnet18,64,26,6357.54,10.07,1763161819.7088263
envA,cuda,resnet18,64,27,6262.81,10.22,1763161825.9718158
envA,cuda,resnet18,64,28,6380.57,10.03,1763161832.3524938
envA,cuda,resnet18,64,29,6414.85,9.98,1763161838.7674465
envA,cuda,resnet18,64,30,6338.38,10.10,1763161845.105934
envA,cuda,resnet18,64,31,6421.67,9.97,1763161851.5279813
envA,cuda,resnet18,64,32,5950.84,10.75,1763161857.479009
envA,cuda,resnet18,64,33,6036.67,10.60,1763161863.5157883
envA,cuda,resnet18,64,34,6010.73,10.65,1763161869.5268075
envA,cuda,resnet18,64,35,5919.21,10.81,1763161875.4461327
envA,cuda,resnet18,64,36,6000.90,10.67,1763161881.4471462
envA,cuda,resnet18,64,37,5989.25,10.69,1763161887.4365075
envA,cuda,resnet18,64,38,5871.94,10.90,1763161893.308554
envA,cuda,resnet18,64,39,5902.52,10.84,1763161899.2111862
envA,cuda,resnet18,64,40,5908.65,10.83,1763161905.1199434
envA,cuda,resnet18,64,41,5900.86,10.85,1763161911.02131
envA,cuda,resnet18,64,42,5946.33,10.76,1763161916.967819
envA,cuda,resnet18,64,43,5851.55,10.94,1763161922.819474
envA,cuda,resnet18,64,44,5765.44,11.10,1763161928.585145
envA,cuda,resnet18,64,45,5767.08,11.10,1763161934.3524146
envA,cuda,resnet18,64,46,5771.12,11.09,1763161940.1236405
envA,cuda,resnet18,64,47,5778.34,11.08,1763161945.9020975
envA,cuda,resnet18,64,48,5853.39,10.93,1763161951.755612
envA,cuda,resnet18,64,49,5812.83,11.01,1763161957.568549
