env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp
envA,cuda,mobilenet_v2,128,0,473.65,270.24,1763167893.4060912
envA,cuda,mobilenet_v2,128,1,206.98,618.42,1763167893.8332856
envA,cuda,mobilenet_v2,128,2,466.25,274.53,1763167894.3041182
envA,cuda,mobilenet_v2,128,3,477.76,267.92,1763167894.7844298
envA,cuda,mobilenet_v2,128,4,450.66,284.03,1763167895.2355106
envA,cuda,mobilenet_v2,128,5,512.72,249.65,1763167895.7485595
envA,cuda,mobilenet_v2,128,6,489.60,261.44,1763167896.2404435
envA,cuda,mobilenet_v2,128,7,429.02,298.36,1763167896.669931
envA,cuda,mobilenet_v2,128,8,445.17,287.53,1763167897.1183722
envA,cuda,mobilenet_v2,128,9,486.84,262.92,1763167897.6065254
envA,cuda,mobilenet_v2,128,10,464.77,275.40,1763167898.073458
envA,cuda,mobilenet_v2,128,11,214.40,597.03,1763167898.54542
envA,cuda,mobilenet_v2,128,12,477.46,268.08,1763167899.0233269
envA,cuda,mobilenet_v2,128,13,466.28,274.51,1763167899.490957
envA,cuda,mobilenet_v2,128,14,489.08,261.71,1763167899.9827576
envA,cuda,mobilenet_v2,128,15,456.79,280.22,1763167900.444483
envA,cuda,mobilenet_v2,128,16,472.97,270.63,1763167900.9179065
envA,cuda,mobilenet_v2,128,17,491.42,260.47,1763167901.4098468
envA,cuda,mobilenet_v2,128,18,464.16,275.76,1763167901.8759127
envA,cuda,mobilenet_v2,128,19,468.04,273.48,1763167902.3477507
envA,cuda,mobilenet_v2,128,20,474.27,269.89,1763167902.8279846
envA,cuda,mobilenet_v2,128,21,199.08,642.94,1763167903.3037877
envA,cuda,mobilenet_v2,128,22,465.26,275.11,1763167903.7711992
envA,cuda,mobilenet_v2,128,23,552.51,231.67,1763167904.324229
envA,cuda,mobilenet_v2,128,24,477.50,268.06,1763167904.8052351
envA,cuda,mobilenet_v2,128,25,459.35,278.65,1763167905.2648933
envA,cuda,mobilenet_v2,128,26,484.72,264.07,1763167905.7594347
envA,cuda,mobilenet_v2,128,27,455.91,280.76,1763167906.226149
envA,cuda,mobilenet_v2,128,28,457.56,279.75,1763167906.6853974
envA,cuda,mobilenet_v2,128,29,456.93,280.13,1763167907.1426535
envA,cuda,mobilenet_v2,128,30,481.64,265.76,1763167907.6246865
envA,cuda,mobilenet_v2,128,31,221.65,577.49,1763167908.1168704
envA,cuda,mobilenet_v2,128,32,462.18,276.95,1763167908.5815034
envA,cuda,mobilenet_v2,128,33,484.19,264.36,1763167909.06611
envA,cuda,mobilenet_v2,128,34,479.76,266.80,1763167909.546164
envA,cuda,mobilenet_v2,128,35,471.06,271.73,1763167910.0176394
envA,cuda,mobilenet_v2,128,36,487.09,262.79,1763167910.5051317
envA,cuda,mobilenet_v2,128,37,478.40,267.56,1763167910.9861493
envA,cuda,mobilenet_v2,128,38,492.48,259.91,1763167911.4803338
envA,cuda,mobilenet_v2,128,39,479.20,267.11,1763167911.95997
envA,cuda,mobilenet_v2,128,40,483.58,264.69,1763167912.4439652
envA,cuda,mobilenet_v2,128,41,191.00,670.16,1763167912.926041
envA,cuda,mobilenet_v2,128,42,480.66,266.30,1763167913.4093466
envA,cuda,mobilenet_v2,128,43,485.89,263.43,1763167913.895814
envA,cuda,mobilenet_v2,128,44,464.65,275.47,1763167914.363394
envA,cuda,mobilenet_v2,128,45,473.77,270.17,1763167914.839457
envA,cuda,mobilenet_v2,128,46,503.46,254.24,1763167915.3434486
envA,cuda,mobilenet_v2,128,47,442.66,289.16,1763167915.7893465
envA,cuda,mobilenet_v2,128,48,483.56,264.71,1763167916.273356
envA,cuda,mobilenet_v2,128,49,507.38,252.28,1763167916.7811813
envA,cuda,mobilenet_v2,128,50,495.64,258.25,1763167917.278399
envA,cuda,mobilenet_v2,128,51,266.21,480.82,1763167917.8104377
envA,cuda,mobilenet_v2,128,52,462.40,276.82,1763167918.2731557
envA,cuda,mobilenet_v2,128,53,474.60,269.70,1763167918.7517805
envA,cuda,mobilenet_v2,128,54,475.94,268.94,1763167919.230727
envA,cuda,mobilenet_v2,128,55,438.06,292.20,1763167919.678442
envA,cuda,mobilenet_v2,128,56,466.87,274.16,1763167920.1456776
envA,cuda,mobilenet_v2,128,57,436.16,293.47,1763167920.5821497
envA,cuda,mobilenet_v2,128,58,481.55,265.81,1763167921.0640204
envA,cuda,mobilenet_v2,128,59,474.15,269.96,1763167921.5383692
envA,cuda,mobilenet_v2,128,60,477.84,267.87,1763167922.0164273
envA,cuda,mobilenet_v2,128,61,173.36,738.33,1763167922.4933863
envA,cuda,mobilenet_v2,128,62,475.99,268.91,1763167922.9696202
envA,cuda,mobilenet_v2,128,63,489.66,261.41,1763167923.4595091
